row_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,tariff_plan,status,age,customer_value,cluster,churn,conjunto
58,10,0,40,1,13833,172,5,46,0,0,30,580.2,2,0,treino
59,10,0,40,2,4575,86,7,27,0,0,30,214.44,1,0,treino
60,9,0,40,1,5978,98,12,14,0,0,30,291.04,1,0,treino
61,12,0,40,1,2298,57,13,19,0,0,30,146.2,1,0,treino
62,28,0,40,4,15200,228,59,34,0,0,30,853.12,2,0,treino
63,7,0,40,2,3155,30,488,10,0,0,30,2079.4,0,0,treino
64,12,0,39,1,15545,185,155,32,0,0,25,1405.35,2,0,treino
65,6,0,39,2,6560,89,191,28,0,0,30,1029.96,0,0,treino
66,3,0,39,1,935,17,5,13,0,0,25,65.34,1,0,treino
67,5,0,40,1,770,17,18,10,0,0,30,103.48,1,0,treino
68,3,1,39,1,60,3,5,2,0,0,25,25.335,1,1,treino
69,6,0,39,1,7568,130,389,45,0,0,30,1863.92,0,0,treino
70,10,0,39,2,11525,157,16,49,1,0,45,332.05,2,0,teste
71,11,0,39,2,6778,78,113,39,0,0,25,817.02,2,0,treino
72,26,1,35,1,1015,50,21,19,0,0,30,126.6,1,1,teste
73,24,1,38,9,10495,96,6,44,1,0,55,167.865,2,0,treino
74,16,0,38,2,5878,101,31,26,0,0,25,408.555,2,0,teste
75,4,0,36,1,2900,25,5,16,0,0,30,137.0,1,0,treino
76,12,0,37,1,3050,44,14,18,0,0,30,179.76,1,1,treino
77,12,1,38,1,2328,47,39,33,0,0,30,251.0,1,1,treino
78,3,0,38,1,193,5,5,4,0,0,30,27.92,1,1,teste
79,4,0,38,1,1728,28,5,8,0,0,45,56.4,1,0,treino
80,6,0,35,2,6845,100,19,24,0,0,55,132.675,1,0,treino
81,3,0,38,1,688,10,14,6,0,0,45,52.45,1,1,treino
82,3,0,38,2,398,7,9,4,0,0,55,19.575,1,0,treino
83,28,0,33,4,16135,241,5,82,0,0,25,759.42,2,0,treino
84,9,1,36,4,7025,119,276,35,1,0,30,1389.76,0,0,treino
85,5,0,38,1,3778,85,7,30,0,0,30,182.52,1,0,treino
86,6,0,37,1,1725,47,43,22,0,0,30,242.88,1,0,teste
87,9,0,38,1,2840,56,180,25,0,0,25,940.32,0,0,teste
88,7,0,29,2,1375,39,198,13,1,0,30,848.56,0,0,treino
89,7,0,28,1,1628,42,35,70,0,0,45,129.25,1,0,treino
90,14,0,29,1,760,28,15,9,0,0,30,91.52,1,0,treino
91,3,0,28,1,885,13,26,5,0,0,45,87.45,1,0,treino
92,13,0,27,1,1285,35,24,15,0,0,25,167.4,1,0,treino
93,5,0,27,1,3285,64,13,25,0,0,30,185.96,1,0,treino
94,5,0,20,1,1755,29,33,16,0,0,25,228.78,1,0,teste
95,19,0,19,2,6453,144,90,44,1,0,25,701.865,2,0,treino
96,15,0,17,1,8993,174,78,42,0,0,55,254.505,2,0,treino
97,11,0,18,4,2913,48,36,21,0,0,30,262.44,1,0,treino
98,5,0,11,2,4450,43,220,12,0,0,30,1059.72,0,0,treino
99,6,1,11,2,1548,22,5,9,0,0,30,82.8,1,1,treino
100,5,0,36,0,4310,68,0,15,0,0,25,197.01,1,0,treino
101,0,0,37,0,258,2,2,2,0,1,25,20.7,1,0,treino
102,7,0,35,0,2393,57,354,22,0,0,25,1703.25,0,0,treino
103,7,0,36,0,4138,63,0,33,0,0,15,231.055,1,0,treino
104,0,0,36,0,2333,55,0,31,0,0,15,131.34,1,0,treino
105,8,0,36,0,3715,79,27,26,0,0,30,259.76,1,0,treino
106,1,0,36,0,2300,36,280,16,0,0,30,1213.44,0,0,treino
107,10,0,35,1,9055,118,139,41,0,0,30,922.92,2,0,treino
108,4,0,36,0,13713,166,0,42,0,0,30,555.16,2,0,teste
109,4,0,36,0,4455,80,0,23,0,0,30,181.4,1,0,treino
110,3,0,36,0,5858,92,2,10,0,0,25,276.75,1,0,teste
111,6,1,36,0,2178,51,3,15,0,1,30,101.16,1,0,treino
112,22,0,36,2,15080,222,49,30,0,0,30,808.08,2,0,treino
113,1,0,36,0,3035,24,478,6,0,0,30,2034.36,0,0,teste
114,6,0,35,0,15425,179,145,28,0,0,25,1354.68,2,0,treino
115,0,0,35,0,6440,83,181,24,0,0,30,984.92,0,0,teste
116,0,0,35,0,815,11,0,9,0,1,25,37.17,1,0,treino
117,0,0,36,0,650,11,8,6,0,1,25,65.745,1,0,treino
118,0,0,35,0,0,0,0,0,0,1,25,0.0,1,1,treino
119,0,0,35,0,7448,124,379,41,0,0,25,2046.24,0,0,teste
120,4,0,35,0,11405,151,6,45,0,0,30,486.24,2,0,treino
121,5,0,35,0,6658,72,103,35,0,0,25,766.35,0,0,teste
122,20,0,31,0,895,44,11,15,0,1,25,91.755,1,1,teste
123,18,0,34,7,10375,90,0,40,0,0,45,261.625,2,0,treino
124,10,0,34,0,5758,95,21,22,0,0,25,357.885,1,1,treino
125,0,0,32,0,2780,19,0,12,0,0,30,111.96,1,0,treino
126,6,0,33,0,2930,38,4,14,0,1,25,151.56,1,1,treino
127,6,1,34,0,2208,41,29,29,0,1,30,205.96,1,1,treino
128,0,1,34,0,0,0,0,0,0,1,30,0.0,1,1,teste
129,0,0,34,0,1608,22,0,4,0,0,30,65.2,1,0,treino
130,0,0,31,0,6725,94,9,20,0,0,45,192.975,1,0,treino
131,0,0,34,0,568,4,4,2,0,1,45,24.3,1,1,treino
132,0,0,34,0,0,0,0,0,0,0,55,0.0,1,0,teste
133,22,0,29,2,16015,235,0,78,0,0,25,731.25,2,0,treino
134,3,0,32,2,6905,113,266,31,1,0,25,1512.81,0,0,treino
135,0,0,34,0,3658,79,0,26,0,0,25,168.165,1,0,teste
136,0,0,33,0,1605,41,33,18,0,1,30,197.84,1,0,teste
137,3,0,34,0,2720,50,170,21,0,0,25,889.65,0,0,treino
138,1,0,25,0,1255,33,188,9,1,0,25,903.96,0,0,teste
139,1,0,24,0,1508,36,25,66,0,0,45,101.1,1,0,treino
140,8,0,25,0,640,22,5,5,0,1,25,52.29,1,0,treino
141,0,1,24,0,765,7,16,1,0,1,45,59.3,1,1,treino
142,7,0,23,0,1165,29,14,11,0,0,25,116.73,1,0,treino
143,0,0,23,0,3165,58,3,21,0,0,30,140.92,1,0,teste
144,0,0,16,0,1635,23,23,12,0,0,25,178.11,1,0,treino
145,13,0,15,0,6333,138,80,40,1,0,15,795.905,2,0,treino
146,9,0,13,0,8873,168,68,38,0,0,45,396.025,2,0,treino
147,5,0,14,2,2793,42,26,17,0,0,30,217.4,1,0,treino
148,0,0,7,0,4330,37,210,8,0,0,30,1014.68,0,0,teste
149,0,0,7,0,1428,16,0,5,0,0,30,57.76,1,1,teste
150,9,0,42,1,4450,73,15,21,0,0,30,240.92,1,0,treino
151,1,1,43,0,398,7,17,8,0,1,30,84.2,1,1,treino
152,11,0,41,1,2533,62,369,28,0,0,30,1579.8,0,0,treino
153,11,0,42,1,4278,68,11,39,0,0,15,299.53,1,0,teste
154,4,0,42,1,2473,60,12,37,0,0,25,167.985,1,0,treino
155,12,0,42,2,3855,84,42,32,0,0,30,325.56,1,0,treino
156,5,0,42,1,2440,41,295,22,0,0,30,1279.24,0,0,treino
157,14,0,41,3,9195,123,154,47,0,0,30,988.72,2,0,treino
158,8,0,42,1,13853,171,10,48,0,0,30,600.96,2,0,treino
159,8,0,42,2,4595,85,12,29,0,0,30,235.2,1,0,treino
160,7,0,42,1,5998,97,17,16,0,0,30,311.8,1,0,treino
161,10,0,42,0,2318,56,18,21,0,1,30,166.96,1,0,treino
162,26,0,42,4,15220,227,64,36,1,0,30,873.88,2,0,treino
163,5,0,42,2,3175,29,493,12,0,0,30,2100.16,0,0,teste
164,10,0,41,1,15565,184,160,34,0,0,25,1428.705,2,0,treino
165,4,0,41,2,6580,88,196,30,0,0,30,1050.72,0,0,treino
166,1,0,41,0,955,16,10,15,0,1,25,88.695,1,0,treino
167,3,0,42,0,790,16,23,12,0,1,30,124.24,1,0,treino
168,1,0,41,0,80,2,10,4,0,1,25,48.69,1,1,treino
169,4,0,41,1,7588,129,394,47,0,0,30,1884.68,0,0,treino
170,8,0,41,2,11545,156,21,51,0,0,45,345.025,2,0,treino
171,9,0,41,2,6798,77,118,41,0,0,25,840.375,2,0,treino
172,24,1,37,0,1035,49,26,21,0,1,30,147.36,1,1,treino
173,22,1,40,9,10515,95,11,46,0,0,55,175.65,2,0,teste
174,14,0,40,2,5898,100,36,28,0,0,25,431.91,2,1,treino
175,2,0,38,1,2920,24,10,18,0,0,30,157.76,1,0,teste
176,10,0,39,0,3070,43,19,20,0,1,30,200.52,1,1,teste
177,10,1,40,0,2348,46,44,35,0,1,30,271.76,1,1,treino
178,1,0,40,0,213,4,10,6,0,1,30,48.68,1,1,treino
179,2,0,40,1,1748,27,10,10,0,0,45,69.375,1,0,treino
180,4,0,37,2,6865,99,24,26,0,0,55,140.46,1,0,treino
181,1,1,40,0,708,9,19,8,0,1,45,65.425,1,1,teste
182,1,0,40,2,418,6,14,6,0,0,55,27.36,1,0,treino
183,26,0,35,4,16155,240,10,84,0,0,25,782.775,2,0,treino
184,7,1,38,4,7045,118,281,37,1,0,25,1586.835,0,0,treino
185,3,0,40,1,3798,84,12,32,0,0,30,203.28,1,0,teste
186,4,0,39,0,1745,46,48,24,0,1,30,263.64,1,0,treino
187,7,0,40,1,2860,55,185,27,0,0,25,963.675,0,0,treino
188,5,0,31,2,1395,38,203,15,1,0,25,977.985,0,0,treino
189,5,0,30,1,1648,41,40,72,0,0,45,142.225,1,0,teste
190,12,0,31,0,780,27,20,11,0,1,30,112.28,1,0,treino
191,1,0,30,0,905,12,31,7,0,1,45,100.425,1,0,treino
192,11,0,29,1,1305,34,29,17,0,0,25,190.755,1,0,treino
193,3,0,29,1,3305,63,18,27,0,0,30,206.72,1,0,treino
194,3,0,22,1,1775,28,38,18,0,0,25,252.135,1,0,treino
195,17,0,21,2,6473,143,95,46,1,0,25,725.22,2,0,teste
196,13,0,19,1,9013,173,83,44,0,0,55,262.29,2,0,treino
197,9,0,20,4,2933,47,41,23,0,0,30,283.2,1,0,teste
198,3,0,13,2,4470,42,225,14,0,0,30,1080.48,0,0,treino
199,4,0,13,2,1568,21,10,11,0,0,30,103.56,1,1,teste
200,7,0,34,0,4290,69,0,13,0,0,25,196.155,1,0,treino
201,0,0,35,0,0,0,0,0,0,1,25,0.0,1,0,treino
202,9,0,33,0,2373,58,349,20,0,0,25,1679.895,0,0,teste
203,9,0,34,0,4118,64,0,31,0,0,15,230.01,1,0,treino
204,2,0,34,0,2313,56,0,29,0,0,15,130.295,1,0,treino
205,10,0,34,0,3695,80,22,24,0,0,30,239.0,1,0,treino
206,3,0,34,0,2280,37,275,14,0,0,30,1192.68,0,0,treino
207,12,0,33,1,9035,119,134,39,0,0,30,902.16,2,0,treino
208,6,0,34,0,13693,167,0,40,0,0,30,554.4,2,0,treino
209,6,0,34,0,4435,81,0,21,0,0,30,180.64,1,0,treino
210,5,0,34,0,5838,93,0,8,0,0,25,266.895,1,0,treino
211,8,0,34,0,2158,52,0,13,0,1,30,88.4,1,0,teste
212,24,0,34,2,15060,223,44,28,0,0,30,787.32,2,0,teste
213,3,0,34,0,3015,25,473,4,0,0,30,2013.6,0,0,treino
214,8,0,33,0,15405,180,140,26,0,0,25,1331.325,2,0,treino
215,2,0,33,0,6420,84,176,22,0,0,30,964.16,0,0,treino
216,0,0,33,0,795,12,0,7,0,1,25,36.315,1,0,treino
217,1,0,34,0,630,12,3,4,0,1,25,42.39,1,0,treino
218,0,0,33,0,0,0,0,0,0,1,25,0.0,1,1,teste
219,2,0,33,0,7428,125,374,39,0,0,25,2022.885,0,0,treino
220,6,0,33,0,11385,152,1,43,0,0,30,465.48,2,0,treino
221,7,0,33,0,6638,73,98,33,0,0,25,742.995,1,0,teste
222,22,0,29,0,875,45,6,13,0,1,25,68.4,1,1,treino
223,20,0,32,7,10355,91,0,38,0,0,45,261.15,2,0,treino
224,12,1,32,0,5738,96,16,20,0,0,25,334.53,1,1,treino
225,0,0,30,0,2760,20,0,10,0,0,30,111.2,1,0,teste
226,8,1,31,0,2910,39,0,12,0,1,30,117.96,1,1,treino
227,8,0,32,0,2188,42,24,27,0,1,30,185.2,1,1,treino
228,0,1,32,0,0,0,0,0,0,1,30,0.0,1,1,treino
229,0,0,32,0,1588,23,0,2,0,0,30,64.44,1,0,treino
230,2,0,29,0,6705,95,4,18,0,0,45,180.0,1,0,treino
231,0,0,32,0,0,0,0,0,0,1,45,0.0,1,1,treino
232,0,0,32,0,0,0,0,0,0,0,55,0.0,1,0,treino
233,24,0,27,2,15995,236,0,76,0,0,25,730.395,2,0,treino
234,5,0,30,2,6885,114,261,29,1,0,25,1489.455,0,0,treino
235,1,0,32,0,3638,80,0,24,0,0,25,167.31,1,0,treino
236,2,0,31,0,1585,42,28,16,0,1,30,177.08,1,0,treino
237,5,0,32,0,2700,51,165,19,0,0,25,866.295,0,0,teste
238,3,0,23,0,1235,34,183,7,1,0,25,880.605,0,0,treino
239,3,0,22,0,1488,37,20,64,0,0,45,88.125,1,0,treino
240,10,0,23,0,620,23,0,3,0,1,25,28.935,1,0,treino
241,0,0,22,0,0,0,11,0,0,1,45,27.5,1,0,treino
242,9,0,21,0,1145,30,9,9,0,0,25,93.375,1,0,treino
243,1,0,21,0,3145,59,0,19,0,0,30,128.16,1,0,treino
244,1,0,14,0,1615,24,18,10,0,0,25,154.755,1,0,treino
245,15,0,13,0,6313,139,75,38,1,0,15,767.36,2,0,teste
246,11,0,11,0,8853,169,63,36,0,0,45,383.05,2,0,treino
247,7,0,12,2,2773,43,21,15,0,0,30,196.64,1,0,treino
248,1,0,5,0,4310,38,205,6,0,0,30,993.92,0,0,treino
249,2,0,5,0,1408,17,0,3,0,0,30,57.0,1,1,treino
250,13,0,44,1,4630,81,20,23,0,0,30,268.44,1,0,teste
251,5,0,45,0,578,15,22,10,0,1,30,111.72,1,0,teste
252,15,0,43,1,2713,70,374,30,0,0,30,1607.32,0,0,teste
253,15,0,44,1,4458,76,16,41,0,0,15,337.37,1,0,treino
254,8,0,44,1,2653,68,17,39,0,0,25,198.945,1,0,treino
255,16,0,44,2,4035,92,47,34,0,0,30,353.08,2,0,treino
256,9,0,44,1,2620,49,300,24,0,0,30,1306.76,0,0,treino
257,18,0,43,3,9375,131,159,49,0,0,30,1016.24,2,0,treino
258,12,0,44,1,14033,179,15,50,0,0,30,628.48,2,0,teste
259,12,0,44,2,4775,93,17,31,0,0,30,262.72,1,0,treino
260,11,0,44,1,6178,105,22,18,0,0,30,339.32,1,0,treino
261,14,1,44,0,2498,64,23,23,0,1,30,194.48,1,0,treino
262,30,0,44,4,15400,235,69,38,0,0,30,901.4,2,0,treino
263,9,0,44,2,3355,37,498,14,0,0,30,2127.68,0,0,teste
264,14,0,43,1,15745,192,165,36,0,0,25,1459.665,2,0,treino
265,8,0,43,2,6760,96,201,32,0,0,30,1078.24,0,0,teste
266,5,0,43,0,1135,24,15,17,0,1,25,119.655,1,0,treino
267,7,0,44,0,970,24,28,14,0,1,30,151.76,1,0,treino
268,5,0,43,0,260,10,15,6,0,1,25,79.65,1,1,teste
269,8,0,43,1,7768,137,399,49,0,0,30,1912.2,0,0,treino
270,12,0,43,2,11725,164,26,53,0,0,45,362.225,2,0,treino
271,13,0,43,2,6978,85,123,43,0,0,25,871.335,2,0,treino
272,28,1,39,0,1215,57,31,23,0,1,30,174.88,1,1,treino
273,26,0,42,9,10695,103,16,48,1,0,55,185.97,2,0,treino
274,18,0,42,2,6078,108,41,30,0,0,25,462.87,2,0,treino
275,6,0,40,1,3100,32,15,20,0,0,30,185.28,1,0,treino
276,14,1,41,0,3250,51,24,22,0,1,30,228.04,1,1,treino
277,14,1,42,0,2528,54,49,37,0,1,45,187.05,1,1,treino
278,5,0,42,0,393,12,15,8,0,1,30,76.2,1,1,teste
279,6,0,42,1,1928,35,15,12,0,0,45,86.575,1,0,treino
280,8,0,39,2,7045,107,29,28,0,0,55,150.78,2,0,treino
281,5,0,42,0,888,17,24,10,0,1,45,82.625,1,1,treino
282,5,0,42,2,598,14,19,8,0,0,55,37.68,1,0,treino
283,30,1,37,4,16335,248,15,86,0,0,25,813.735,2,0,treino
284,11,1,40,4,7225,126,286,39,1,0,30,1438.04,0,0,treino
285,7,0,42,1,3978,92,17,34,0,0,30,230.8,1,0,treino
286,8,0,41,0,1925,54,53,26,0,1,30,291.16,1,0,treino
287,11,0,42,1,3040,63,190,29,0,0,25,994.635,0,0,treino
288,9,0,33,2,1575,46,208,17,1,0,30,896.84,0,0,treino
289,9,0,32,1,1828,49,45,74,0,0,55,95.655,1,0,treino
290,16,0,33,0,960,35,25,13,0,1,30,139.8,1,0,treino
291,5,0,32,0,1085,20,36,9,0,1,45,117.625,1,0,treino
292,15,0,31,1,1485,42,34,19,0,0,25,221.715,1,0,treino
293,7,0,31,1,3485,71,23,29,0,0,30,234.24,1,0,treino
294,7,0,24,1,1955,36,43,20,0,0,30,251.64,1,0,treino
295,21,0,23,2,6653,151,100,48,1,0,25,756.18,2,0,treino
296,17,0,21,1,9193,181,88,46,0,0,55,272.61,2,0,treino
297,13,0,22,4,3113,55,46,25,0,0,30,310.72,1,0,teste
298,7,0,15,2,4650,50,230,16,0,0,30,1108.0,0,0,teste
299,8,1,15,2,1748,29,15,13,0,0,30,131.08,1,1,teste
300,3,0,32,0,4110,61,0,11,0,0,25,187.695,1,0,treino
301,0,0,33,0,0,0,0,0,0,1,25,0.0,1,0,teste
302,5,0,31,0,2193,50,344,18,0,0,25,1648.935,0,0,treino
303,5,0,32,0,3938,56,0,29,0,0,15,219.67,1,0,treino
304,0,0,32,0,2133,48,0,27,0,0,15,119.955,1,0,treino
305,6,0,32,0,3515,72,17,22,0,0,25,237.915,1,0,treino
306,0,0,32,0,2100,29,270,12,0,0,30,1165.16,0,0,treino
307,8,0,31,1,8855,111,129,37,0,0,30,874.64,2,0,teste
308,2,0,32,0,13513,159,0,38,0,0,30,546.88,2,0,treino
309,2,0,32,0,4255,73,0,19,0,0,30,173.12,1,0,treino
310,1,0,32,0,5658,85,0,6,0,0,25,258.435,1,0,teste
311,4,0,32,0,1978,44,0,11,0,1,30,80.88,1,0,treino
312,20,0,32,2,14880,215,39,26,0,0,30,759.8,2,0,teste
313,0,0,32,0,2835,17,468,2,0,0,30,1986.08,0,0,treino
314,4,0,31,0,15225,172,135,24,0,0,25,1300.365,2,0,teste
315,0,0,31,0,6240,76,171,20,0,0,30,936.64,0,0,treino
316,0,0,31,0,615,4,0,5,0,1,25,27.855,1,0,treino
317,0,0,32,0,450,4,0,2,0,1,25,20.43,1,0,treino
318,0,0,31,0,0,0,0,0,0,1,25,0.0,1,1,treino
319,0,0,31,0,7248,117,369,37,0,0,25,1991.925,0,0,treino
320,2,0,31,0,11205,144,0,41,0,0,30,453.96,2,0,teste
321,3,0,31,0,6458,65,93,31,0,0,25,712.035,1,0,treino
322,18,1,27,0,695,37,1,11,0,1,25,37.44,1,1,treino
323,16,0,30,7,10175,83,0,36,0,0,45,256.45,2,0,teste
324,8,1,30,0,5558,88,11,18,0,0,25,303.57,1,1,treino
325,0,0,28,0,2580,12,0,8,0,0,30,103.68,1,0,teste
326,4,0,29,0,2730,31,0,10,0,1,25,124.245,1,1,teste
327,4,1,30,0,2008,34,19,25,0,1,30,157.68,1,1,treino
328,0,0,30,0,0,0,0,0,0,1,30,0.0,1,1,treino
329,0,0,30,0,0,0,0,0,0,0,30,0.0,1,0,treino
330,0,0,27,0,6525,87,0,16,0,0,45,165.3,1,0,treino
331,0,1,30,0,0,0,0,0,0,1,45,0.0,1,1,treino
332,0,1,30,0,0,0,0,0,0,0,55,0.0,1,1,treino
333,20,0,25,2,15815,228,0,74,0,0,25,721.935,2,0,treino
334,1,0,28,2,6705,106,256,27,1,0,25,1458.495,0,0,teste
335,0,0,30,0,3458,72,0,22,0,0,25,158.85,1,0,treino
336,0,0,29,0,1405,34,23,14,0,1,30,149.56,1,0,treino
337,1,0,30,0,2520,43,160,17,0,0,25,835.335,0,0,treino
338,0,0,21,0,1055,26,178,5,1,0,25,849.645,0,0,treino
339,0,0,20,0,1308,29,15,62,0,0,45,70.925,1,0,treino
340,6,0,21,0,440,15,0,1,0,1,25,20.475,1,0,treino
341,0,0,20,0,0,0,6,0,0,1,45,15.0,1,0,teste
342,5,0,19,0,965,22,4,7,0,0,25,62.415,1,0,treino
343,0,0,19,0,2965,51,0,17,0,0,30,120.64,1,0,teste
344,0,0,12,0,1435,16,13,8,0,0,25,123.795,1,0,treino
345,11,0,11,0,6133,131,70,36,1,0,15,729.52,2,0,treino
346,7,0,9,0,8673,161,58,34,0,0,45,365.85,2,0,treino
347,3,0,10,2,2593,35,16,13,0,0,30,169.12,1,0,teste
348,0,0,3,0,4130,30,200,4,0,0,30,966.4,0,0,treino
349,0,1,3,0,1228,9,0,1,0,0,25,55.665,1,1,treino
350,10,0,41,0,4550,79,16,22,0,0,30,249.16,1,0,treino
351,2,0,42,0,498,13,18,9,0,1,25,103.995,1,0,treino
352,12,0,40,0,2633,68,370,29,0,0,30,1588.04,0,0,treino
353,12,0,41,0,4378,74,12,40,0,0,15,310.86,1,0,treino
354,5,0,41,0,2573,66,13,38,0,0,15,216.645,1,0,treino
355,13,0,41,1,3955,90,43,33,0,0,30,333.8,1,0,treino
356,6,0,41,0,2540,47,296,23,0,0,30,1287.48,0,0,treino
357,15,0,40,2,9295,129,155,48,0,0,30,996.96,2,0,treino
358,9,0,41,0,13953,177,11,49,0,0,30,609.2,2,0,teste
359,9,0,41,1,4695,91,13,30,0,0,30,243.44,1,0,treino
360,8,0,41,0,6098,103,18,17,0,0,30,320.04,1,0,teste
361,11,0,41,0,2418,62,19,22,0,1,30,175.2,1,0,treino
362,27,0,41,3,15320,233,65,37,0,0,30,882.12,2,0,teste
363,6,0,41,1,3275,35,494,13,0,0,30,2108.4,0,0,treino
364,11,0,40,0,15665,190,161,35,0,0,25,1437.975,2,0,treino
365,5,0,40,1,6680,94,197,31,0,0,30,1058.96,0,0,teste
366,2,0,40,0,1055,22,11,16,0,1,25,97.965,1,0,treino
367,4,0,41,0,890,22,24,13,0,1,30,132.48,1,0,treino
368,2,0,40,0,180,8,11,5,0,1,25,57.96,1,1,treino
369,5,0,40,0,7688,135,395,48,0,0,25,2129.535,0,0,treino
370,9,0,40,1,11645,162,22,52,0,0,45,350.175,2,0,teste
371,10,0,40,1,6898,83,119,42,0,0,25,849.645,2,0,teste
372,25,1,36,0,1135,55,27,22,0,1,25,175.05,1,1,treino
373,23,0,39,8,10615,101,12,47,0,0,55,178.74,2,0,treino
374,15,0,39,1,5998,106,37,29,0,0,25,441.18,2,0,teste
375,3,0,37,0,3020,30,11,19,0,0,30,166.0,1,0,teste
376,11,1,38,0,3170,49,20,21,0,1,30,208.76,1,1,teste
377,11,1,39,0,2448,52,45,36,0,1,30,280.0,1,1,teste
378,2,1,39,0,313,10,11,7,0,1,30,56.92,1,1,teste
379,3,0,39,0,1848,33,11,11,0,0,30,119.24,1,0,treino
380,5,0,36,1,6965,105,25,27,0,0,55,143.55,1,0,treino
381,2,0,39,0,808,15,20,9,0,1,45,70.575,1,1,treino
382,2,0,39,1,518,12,15,7,0,0,55,30.45,1,0,treino
383,27,1,34,3,16255,246,11,85,0,0,25,792.045,2,0,treino
